id,dc.contributor.author[],dc.title[en_US],dc.description.abstract[en_US],dc.subject[en_US],dc.type[en_US],dc.identifier.uri,keywords
38,"Dori, Yehudit Judy||Barak, Miri",Computerized Molecular Modeling: Enhancing Meaningful Chemistry Learning,"Model perception and understanding the spatial structure of organic molecules has been a source of difficulty for many chemistry students. To alleviate these problems we have introduced an innovative teaching/learning approach that employs a combination of virtual and physical models in an organic high school chemistry curriculum. We studied the effect of this approach on enhancing meaningful learning in chemistry. Experimental group students were more capable of defining and implementing new concepts in organic chemistry than their control group counterparts. When required to explain their answers, most of the experimental group students used mainly sketches of ball-and-stick models and some space-filling models. Experimental group students understood the model concept better and were more capable of applying transformation from one-dimensional to two- or three-dimensional molecular representations and vice versa.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Dori.pdf,"modeling/models, visualization, learning environment, science education"
39,"Fasse, Barbara Burks||Kolodner, Janet L.",Evaluating Classroom Practices Using Qualitative Research Methods: Defining and Refining the Process,"We describe the evolution of qualitative research practices across several years of field testing the Learning by Design curriculum. A variety of methods have been employed for the purpose of developing a deeper understanding of learning and the learner. Our approach to qualitative research has changed over time as our evaluation goals have evolved, as no one practice is appropriate at every stage in a development project. Rather, what we've needed for comprehensive understanding of the ins and outs of learning environments has been a melding of several well-known methodologies along with development of strategies and tactics for data collection and analysis that allow us to identify essential features of a learning environment without spending all of our resources on evaluation.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Fasse.pdf,"qualitative methods, middle school, assessment"
40,"Gaynor, Vickie Banks||Dam, Betty Van",SupportNet Online: How People Use Web-Based Environments to Learn,"SupportNet Online (http://supportnet.merit.edu) is a set of web-based training modules and resources specifically designed to help teachers and technical support personnel in educational settings. This session will show examples of different modalities used for presenting the materials -- text, audio/slide, hands-on exercises, interactive quizzes, etc. A summary of findings about how people use the SupportNet materials will be presented. There will be a chance for researchers to see some of the materials and output of site analysis software. The focus will be on displaying what can be determined by observing utilization patterns in online learning environments.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Gaynor.pdf,"professional development, training, learning environments, on-line assessment"
41,"Gray, Jackie||Groves, Harriett||Kolodner, Janet",A Survival Guide: The Student Success Handbook for Learners in Project Based Science Environments,"Encouraging middle school students to practice reflection, self assessment, and recognition that skills for life-long learning develop across time are the goals for our handbook.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Gray.pdf,"assessment, life-long learning, middle school, reflection"
42,"Hakkinen, Paivi||Jarvela, Sanna||Dillenbourg, Pierre",Group Reflection Tools for Virtual Expert Community � REFLEX Project,"The aim of this project is to improve work quality, creativity and performance in various professional communities of knowledge-intensive companies by integrating teamwork and learning in collectively designed information spaces. This project will provide a pedagogical model for building and sharing expert knowledge within physically distributed teams that have a need to collaborate and co-ordinate information. The project will utilize latest information and communication technologies in developing tools to support reflection of group processes and building of virtual expert community.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hakkinen.pdf,"distributed learning environments, learning communities, reflection, workplace learning"
43,"Hansen, Steven R.||Narayanan, N. Hari",On the Role of Animated Analogies in Algorithm Visualizations,"If a ""picture is worth a thousand words,"" then why have attempts over the past decade to use pictures and animations to replace or supplement traditional instructional methods for teaching algorithms produced such disappointing results? In an earlier paper (Hansen, Schrimpsher, & Narayanan, 1998) we described a research project based on the premise that a rethinking of algorithm animation design is required in order to harness its power to enhance learning. The key insight was that for algorithm animations to be effective, they had to be ""chunked"" and embedded within a context and knowledge providing hypermedia information environment. In this paper, we report on ablation studies which were designed to discover which aspects of the prototype hypermedia visualization system that was developed (called HalVis) contributed to student learning. These preliminary studies led to a surprising discovery that interactive and animated analogies appear to significantly prime learning about abstract and dynamic algorithm behaviors from subsequent visualizations. We first present the interactive features and learning modules of HalVis. Two ablation experiments conducted on HalVis are then described. This is followed by a discussion of the results, their implications and how these are shaping our future research.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hansen.pdf,"visualization, learning environments, quantitative assessment, and cognitive science"
44,"Hay, Kenneth E.||Crozier, Jane||Barnett, Michael||Allison, Don||Bashaw, Meredith||Hoos, Beth||Perkins, Lori",Virtual Gorilla Modeling Project: Middle School Students Constructing Virtual Models for Learning,The Virtual Gorilla Modeling Project (VGMP) was a research and development project that explored the integration of a prototype pedagogy and immersive virtual reality (VR) environment into Zoo Atlanta's Summer Safari program.,design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hay1.pdf,"virtual reality, modeling, science education"
45,"Hay, Kenneth E.||Marlino, Mary||Holschuh, Douglas R.",The Virtual Exploratorium: Foundational Research and Theory on the Integration of 5-D Modeling and Visualization in Undergraduate Geoscience Education,"The Virtual Exploratorium is a collaborative development project funded by the National Science Foundation to develop a theoretical and operational framework to promote high-end visualization, modeling, and data in the support of education. This paper reports on the theoretical framework and three research studies that have been conducted to support the development of the Virtual Exploratorium.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hay2.pdf,"virtual reality, visualization, and science education"
46,"Holbrook, Jennifer||Kolodner, Janet L.",Scaffolding the Development of an Inquiry-Based (Science) Classroom,"Our experience with Learning by Design, an inquiry-based and design-based approach to middle-school science has uncovered several problems teachers have introducing students to an inquiry approach. Teachers find it hard to help students learn content at the same time they are learning skills and processes required for inquiry and design. As well, many students need time to adapt to a classroom situation in which they must take initiative. In response to this need, we've created a ""launcher unit"" for our LBD classrooms called Apollo 13. Students watch a movie where they see scientists and engineers engaging in collaboration, communication, informed decision making, inquiry, and design, and then they engage in a series of short activities that focus on learning these complex skills. The activities provide an anchor for the rest of the year's activities in science class. While designed for LBD, the approach may be appropriate for other inquiry approaches as well.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Holbrook.pdf,"science education, middle school, learning environments, cognitive science"
47,"Hudson, James M.",IRC Francais - A French Learning Community,"This paper presents IRC Francais, a project designed to help students learn a foreign language in an online, conversation-oriented environment. After briefly presenting the framework, rationale, and design for IRC Francais, I will offer some initial findings from a pilot study. This study, conducted using four sophomore-level French conversation classes at two universities, examines how the medium of IRC Francais affects language learning.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hudson.pdf,"computer-mediated communication, distributed learning environments, informal learning environments, learning communities"
48,"Laffey, James||Wang, Minjuan||Tupper, Tom||Wangemann, Paul",The Internet-Based Shared Environment for Expeditions,"This poster session presents an internet-based learning and support system designed to support the key elements and processes of a problem solving expedition. In addition, we briefly describe lessons learned from a pilot in the spring of 1999, and how those lessons have influenced the implementation of a second pilot in the fall of 1999.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Laffey.pdf,"computer-mediated communication, distributed learning environments, informal learning environments, scaffolding"
49,"Miao, Yongwu||Holst, Shirley J.||Haake, Joerg M.||Steinmetz, Ralf",PBL-protocols: Guiding and Controlling Problem Based Learning Processes in Virtual Learning Environments,"In this paper we describe our approach for supporting the use of the problem-based learning (PBL) method in virtual learning environments. We identify two key difficulties. Firstly, neither learners nor tutors, who are used to more traditional methods of teaching, know exactly what to expect from PBL or how to behave appropriately within their new roles. Secondly, these problems are compounded by having to interact within a socially unfamiliar computer-based learning environment. We frame these difficulties in terms of schema theory which suggests that people behave and know what to expect from situations according to mentally represented scripts describing the typical course of events. We apply computational descriptions of these scripts, i.e. PBL-protocols, which guide and control social interaction in virtual PBL groups according to (a) the phase of the learning process and (b) the specific roles of tutor, learner and expert; three roles which are typically distinguished in the problem-based learning method. The PBL-protocols restrict the type of contributions allowed for each role type for each phase of the PBL learning process. We describe the implementation of the PBL-protocols in the CROCODILE virtual learning environment, and discuss results and implications of an early pilot study.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Miao.pdf,"distributed learning environments, scaffolding"
50,"Moher, Tom||Johnson, Andrew||Cho, Yongjoo||Lin, Ya-Ju",Observation-Based Inquiry in a Virtual Ambient Environment,"Design rationale and user experience are described for a virtual ambient environment designed to support sixth grade students' learning of simple co-occurrence relationships and systematic observational skills. User experience was characterized by enthusiasm, but with significant data loss and navigational difficulties. Design implications and further extensions of virtual ambient environments are suggested.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Moher.pdf,"virtual reality, visualization, simulations, scaffolding"
51,"Person, Natalie K.||Graesser, Arthur C.||Group, The Tutoring Research",Designing AutoTutor to be an Effective Conversational Partner,"AutoTutor is an automated computer literacy tutor that participates in a conversation with the student. This paper describes the conversational features that have been incorporated into AutoTutor to improve his performance as a conversational partner. We depict AutoTutor's dialog move options in the Dialog Advancer Network (DAN). The DAN illustrates how AutoTutor adapts his dialog moves to the preceding student turn as well as how AutoTutor gives the floor back to the student. We also discuss how AutoTutor conforms to conversational norms, provides appropriate emotional responses, and appears interested in the student's conversational input.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Person.pdf,"tutoring, discourse, artificial intelligence, pedagogy, modeling, cognitive science"
52,"Quintana, Chris||Fretz, Eric||Krajcik, Joseph||Soloway, Elliot",Assessment Strategies for Learner-Centered Software,"Learners are novices in some work domain that they are trying to work in and learn. Learner-centered design (LCD) is a design approach aimed at developing software to support learners via scaffolding as they try to work in and learn the given work domain. Here, we focus on methods to assess the effectiveness of scaffolding strategies by presenting an initial assessment framework for observing the local ""effects with"" individual scaffolded features and the global ""effects of"" the overall software. We describe dimensions by which we can assess scaffolding. We also describe strategies for understanding the ""cognitive residue"" of the software on the learner to define a more concrete guide for assessing learner-centered scaffolding.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Quintana1.pdf,"learner-centered design, scaffolding, assessment, design process"
53,"Quintana, Chris||Krajcik, Joseph||Soloway, Elliot",Exploring a Structured Definition for Learner-Centered Design,"As computers become more powerful and prevalent, more researchers are exploring computer tools to help novices gain an understanding into new work domains. The development of such tools involves what has been termed a ""learner-centered design"" process. But while there is an intuitive notion of what is meant by learner-centered design, there is no formal definition. Here we present our definition of learner-centered design, a definition formed by extending the definition for the traditional ""user-centered design"" approach. Specifically, we define ""learner-centered design"" in terms of its target audience, the problems it addresses, and the underlying approach for addressing those problems. From a software development viewpoint, by presenting a more formal definition, we hope to not only better describe what we mean by learner-centered software, but also provide a base by which we can explore more structured design methods for developing and implementing effective learner-centered software.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Quintana2.pdf,"learner-centered design, user-centered design"
54,"Sherin, Bruce||Azevedo, Flavio S.",Zones of Exploration: A Framework for Describing and Designing Student-directed Activities,"Exploration zone refers to the ""territory"" that students explore in a particular student-directed activity. In this paper, we put forward a framework for describing the structure of an exploration zone, and we illustrate this framework by applying it to an example activity.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Sherin1.pdf,"Learning environments, learning theory, science education"
55,"Sherin, Bruce||Edelson, Daniel C.||Brown, Matthew",Learning in Task-Structured Curricula,"In this paper, we discuss issues relating to what we call ""task-structured curricula."" In contrast to traditional content-structured curricula, a task-structured curriculum is organized around goals, problems, and questions that cut across multiple areas of traditional content. Our focus, here is on two specific issues. First, we work to elucidate differences between the content ""covered"" in task-structured and content-structured curricula. Second, we address what we call the bootstrapping problem: How can we expect students to work on problems and issues that cut across multiple disciplines, if we have not already provided them with a solid foundation in these disciplines? We make our points by describing a curriculum developed by the Global Warming Project, and by presenting empirical results of clinical interviews conducted with students engaged in this curriculum.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Sherin2.pdf,"learning theory, learning environments, science education"
56,"Siegel, Marcelle||Derry, Sharon||Kim, Jong Baeg||Steinkuehler, Constance||Street, John||Canty, Nicole||Fassnacht, Chris||Hewson, Kate||Hmelo, Cindy||Spiro, Rand",Promoting Teachers' Flexible Use of the Learning Sciences through Case-Based Problem Solving on the WWW: A Theoretical Design Approach,"The Secondary Teacher Education Project is involved in building scientific principles of web-based instructional design. The general question being addressed is how to most effectively support learning within complex web sites that contain many pages of conceptual material tied to real-world problems and/or cases. Cognitive Flexibility Theory provides useful principles for how to design such web sites. The goal of our site is to help middle school through college teachers acquire useful scientific knowledge about student learning and development-- knowledge that can be applied flexibly to the design and management of productive classroom learning environments. In this paper, we describe our (a) theory-based approach to design and (b) site implementation and lessons learned from user testing.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Siegel.pdf,learning theory; professional development; computer-mediated communication; teacher learning
57,"Wellman, Elizabeth||Creedman, Maya||Flores, Jana",A Community of Educators Using Online Self-Organization to Develop a Process for Creating Technology-Integrated Instructional Materials,"The Executive Office of the California History-Social Science Project and the Technology Projects office of Center X at UCLA have developed a project in which statewide history teachers form an online, self generating, problem solving community for the purposes of rewriting existing history and social science curricula for the integration of technology to support student historical thinking and understanding. Participants focus on collaboration and the problem solving process of instructional design in an online (Nexus) collaborative environment. The end product for the participants are several units of practice which reflect historical thinking and understanding and the use of technology to support those processes.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Wellman.pdf,"distributed learning environments, learning communities, professional development, technology planning"
58,"Wilensky, Uri||Stroup, Walter M.",Networked Gridlock: Students Enacting Complex Dynamic Phenomena with the HubNet Architecture,"This project brings together two lines of research - the study of complex dynamic systems and the use of participatory simulations as a powerful way into systems modeling - both of which can be enabled and advanced through emerging network technologies. The study of dynamic systems stands as a new form of literacy for all. Participatory Simulations Activities can support new forms of classroom interaction and can serve to catalyze the engagement with dynamic systems modeling as a core feature of the education of all students. To accomplish these goals, we introduce a new architecture, HubNet. HubNet is an open client-server architecture, which enables many users at the ""Nodes"" (currently TI graphing calculators) to control the behavior of individual objects or agents and to view the aggregated results on a central computer known as the Hub. This network of nodes is integrated with a powerful suite of modeling, analysis and display tools that together give users the capacity to ""fly"" the system in intuitive mode, to reflect on the emergent result of their simulation and, also, to encode their strategies as rules which the system can then run independently. The HubNet system is being used in several middle and secondary classrooms. An illustrative example of classroom use is presented.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Wilensky.pdf,"Simulations, modeling, mathematics education, science education"
59,"Windschitl, Mark||Winn, Bill",A Virtual Environment Designed To Help Students Understand Science,"This paper reports research in progress regarding the effectiveness of immersive virtual environments (IVEs) in helping students understand complex scientific concepts and principles. The subject matter is the ecology of Puget Sound, in Washington State. The purpose of the project is to determine how different characteristics of immersive virtual environments are exploited by learners to improve their understanding of complex environmental processes, and to determine what aspects of the virtual environment facilitate or hinder this understanding. In this paper we describe: The conceptual framework that is guiding our work; the IVE itself, Virtual Puget Sound (VPS); the tasks students perform in it; and, the research that is currently underway. We conclude with some observations about the general role of IVEs in learning science.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Windschitl1.pdf,"virtual reality, science education, visualizations, higher education"
60,"Wolfe, Michael||Edelson, Daniel||Kass, Alex||Davies, Brian",Goin' Up?: Using a Design Task to Teach About Force and Motion,"Physics classes often disassociate scientific principles from their real-world applications. This separation ignores the motivation that applications can provide and can also hinder students' ability to use and apply those principles when they need to. We believe that one way of addressing these problems is to present material in the context of a design task which requires that students understand certain principles in order to generate a successful design. In this paper, we discuss Goin' Up?, an example of a computer-based, design-centered application which teaches concepts in Newtonian mechanics. We conclude with research questions and planned evaluation methods.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Wolfe.pdf,"science education, learning environments, simulations"
61,"Young, Michael||Guan, Yi||Toman, John||DePalma, Andy||Znamenskaia, Elena",Agent as Detector: An Ecological Psychology Perspective on Learning by Perceiving-Acting Systems,"Ecological psychology has much to contribute as a theory of design for instructional and learning systems. With its roots in the psychology of James Gibson (1986), present day ecological psychology provides a unique understanding of how students think and learn, and further, how technology can enhance thinking and learning. This paper explores ecological psychology as a basis for design theory by describing five key ideas, then describing how they influenced four ongoing research projects concerning on-line log file analysis, collaborative learning, a reconceptualization of motivation, and teacher's na�ve perceptions of curricular use of educational technology.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Young.pdf,"learning theory, motivation, on-line assessment, teacher beliefs and practices"
62,"Bouillion, Lisa M.||Gomez, Louis M.",Designing for Culturally and Linguistically Diverse Communities: A Case Study of the Role of Local Context in Shaping Curricular Adaptation,Understanding how curricular innovations get adapted when implemented in culturally and linguistically diverse schooling contexts is critical to making inroads toward the goals of dissemination and scale-up of school reform. This paper examines the role of local context in shaping curricular adaptation through a case study of teachers' implementation of a curricular design which aims to align school and out-of-school communities in mutual benefit partnerships. Our analysis characterizes how this innovation is adapted to meet local goals and suggests the need to make visible in the design how specific structures and strategies can be used in support of local goals.,socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Bouillion.pdf,"teacher beliefs and practices, diversity, home-school connections, educational reform"
63,"Brophy, Sean||Williams, Susan",Reflections on Learning Sciences Using the Knowledge Mining Process,"This poster synthesizes topics and issues shared by participants of the 1998 International Conference of the Learning Sciences (ICLS) using an experimental approach to community knowledge acquisition called the Knowledge Mining process (KMP). ICLS conference participants were asked to respond to two questions about the conference and the field of learning sciences. This paper gives an overview of KMP and how it can be used in various situations such as brainstorming ideas, sharing ideas prior to class, or gathering insights from experts in a given field. The second part of the paper provides a synopsis of the issues ICLS participants raised in their comments ranging from school reform to how we conduct our research.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Brophy.pdf,"learning communities, reflection, distributed learning environments"
64,"Carrillo, Rosario",Intersections of Official Script and Learners' Script in Third Space: A Case Study on Latino Families in an After-School Computer Program,"Drawing from sociocultural cognitive theory (Cole, 1996), this study explores the participant structures of an after-school Latino family computer program. The program was designed to strategically create flexible participation roles. The study uses discourse analysis and the concept of third space to show how Latino families used their funds of knowledge to became brokers for each other as they learned about basic computing practices for educational applications. In third space, where the curriculum script and the families counter-script intersect, what counts as knowledge is negotiated and co-constructed. The study is relevant in light of the increase in use of learning technologies within the new paradigm of constructivist pedagogies that emphasize a shift in foci from teaching to learning, from individuals to collectives, and from habitual to reflective practices.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Carrillo.pdf,"social cognition, discourse, diversity, learning environments"
65,"Koschmann, Timothy",The Physiological and the Social in the Psychologies of Dewey and Thorndike: The Matter of Habit,"This paper seeks to compare the psychologies of Thorndike and Dewey by focusing on their respective treatments of habit in human learning and behavior. The issue is of more than historic interest in that a focus on this aspect of their positions not only reveals much about the two and their contributions to current thought but also provides a point of perspective for a more general reappraisal of the foundations of the learning sciences today. Habits, for Thorndike, could be divided into the instinctive and the acquired. Within his psychology, both types of habits consisted of predispositions to respond in particular ways to particular stimuli. Habits were a primary concern for Dewey, as well. Most day-to-day conduct, he believed, is ruled by habit. When disrupted, however, conduct comes under the influence of impulse and intelligence. Dewey introduced the term inquiry for the process by which intelligence recovers a situation that has in some way become problematic. Dewey's call for the inclusion of ""the social"" in psychology, was a call for a totally new approach to research into human learning and interaction. The implications for future work in educational research of adopting Dewey's approach are discussed.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Koschmann.pdf,"social cognition, foundations, pragmatism, educational psychology"
66,"Kupperman, Jeff||Weisserman, Gary",Narrative Analysis of Two On-line Political Simulations,"We describe the use of narrative analysis for investigating learning in two on-line political character-playing simulations, and propose a framework for analyzing discourse that occurs both on- and off-line in the projects.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Kupperman.pdf,"computer-mediated communication, discourse, high school, learning communities, mentoring, simulations, social studies education"
67,"Marra, Tiffany||Pinkard, Nichole",Implicit Cultural Templates in Software Design: Renegotiating the Norm with Girl Software,"This poster will describe a content analysis of girls' software with the goal of uncovering the implicit epistemological structures within the design of the software. The rubric used to evaluate the software focused on truth, power, identity, voice, and authority.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Marra.pdf,"gender, elementary school, qualitative assessment"
68,"McDonald, Scott||Songer, Nancy Butler",Online Teacher Reflection as a Scaffold to Support Reform-Based Curriculum Implementation,Teachers implementing technology-rich reform-based innovate curriculum are often the only teachers in their school or geographic region using a particular curriculum. This study examines the teacher-participants in the Kids as Global Scientist: Weather curriculum and how creating a web-based message board with a structured professional development focus may act as a community of support for these geographically separated teachers.,socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/McDonald.pdf,"reflection, computer-mediated communication, professional development, educational reform"
69,"O'Neill, D. Kevin||Scardamalia, Marlene",Mentoring in the Open: A Strategy for Supporting Human Development in the Knowledge Society,"On-line mentoring, or ""telementoring"" between K-12 students and adult volunteers has proven a valuable way to enable ambitious classroom inquiry. However, past research has shown that simply placing mentoring opportunities at the disposal of all students is not enough to make telementoring effective on an equitable basis. When mentoring relationships are conducted via private media like e-mail, the students who most need to see models of successful mentoring are, in fact, the least likely to encounter them. In the worst case this leads to a ""rich get richer"" dynamic, in which only students with previous experience of supportive learning partnerships are able to draw benefit from them. In design experiments conducted in Toronto-area high schools, we orchestrated telementoring relationships in a Knowledge Forum(TM) database � an asynchronous, electronic group workspace. In this new model of telementoring, students could (and did) ""peek"" into the telementoring dialogues of their peers. This ""opportunistic model-seeking"", as we call it, allowed students to develop more sophisticated ideas about the kinds of advice and guidance they wanted from their mentors, defeating the ""rich get richer"" dynamic. Our findings suggest that mentoring in the open may serve as a powerful component strategy for building equitable and sustainable on-line learning communities for participants of diverse age and expertise.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/O%27Neill.pdf,"mentoring, learning communities, computer-mediated communication, discourse, diversity, motivation, student beliefs, educational reform"
70,"Palonen, Tuire||Hakkarainen, Kai",Patterns of Interaction in Computer-supported Learning: A Social Network Analysis,"The purpose of the study was to analyze patterns of elementary school students' peer interaction in a computer-supported classroom. The problem addressed in the study was whether students representing different level of school achievement and gender would productively participate in progressive discourse. Technological infrastructure of the study was provided by the Computer-Supported Collaborative Learning Environments (CSILE) The study applied social network analysis to investigate written comments logged by 28 grade 5/6 students to CSILE's database. The study indicated that although the density of interactions within the CSILE class was rather high, there were large individual differences in regard to participation in CSILE-mediated discourse. Further, the analysis revealed that average- and high-achieving female students dominated discourse interaction within the CSILE class, and carried the main responsibility for all students' collaborative building of knowledge. An important characteristic of CSILE students' culture of interaction was that female and male students interacted mainly within their respective gender groups. Within the groups a significant amount of communication took place between students representing different achievement levels. It is concluded that social network analysis provided new information about patterns and structures of CSILE students' interaction culture that would have been very difficult to obtain by any other means.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Palonen.pdf,"computer-mediated communication, discourse, learning environments, social cognition"
71,"Polman, Joseph L.",Identity Development through Participation in an Informal Setting,"Development among participants in learning environments is not limited to cognitive mastery, or ""knowing how"" and ""knowing that."" Rather, it often involves appropriation, a process of making ideas one's own, or part of one's identity. A case study of one child's development through participation in an after school club illustrates the benefits of considering both mastery and appropriation as important benchmarks of success.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Polman.pdf,"learning environments, informal learning environments, learning theory"
72,"Reiser, Brian J.||Spillane, James P.||Sorsa, Franci Steinmuller Don||Carney, Karen||Kyza, Eleni",Investigating the Mutual Adaptation Process in Teachers� Design of Technology-Infused Curricula,"We investigate the challenges that face teachers in their role as collaborators in the design of technology infused reform, and the challenges they perceive in making inquiry and technological tools an integral part of their teaching practice. Teachers' concerns about students, both technology-related and concerns about the difficulty of the academic tasks, outweighed those about teaching. Teachers' task concerns had to do chiefly with the ambitious and open-ended nature of the task and whether students would have the necessary background conceptual knowledge and skills. We also examine the solutions teachers developed to address these concerns, and illuminate important differences between the stance of researchers and that of teachers in the collaborative design process.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Reiser.pdf,"science education, curriculum, teacher beliefs and practices, technology planning"
73,"Tsikalas, Kallen||McMillan-Culp, Katherine","Silent Negotiations: A Case Study of Roles and Functions Utilized by Students, Teachers, and Mentors in Project-based, Telementoring Relationships","This paper describes novel research that we conducted as part of the Portals project (NSF Grant #CDA-9616990). We examined the roles, functions and strategies that students, teachers, and mentors bring to complex on-line, project-based learning experiences. Data for our study consisted of site observations, interviews, student work samples and videotaped project presentations from twelve project-based mentoring relationships that were conducted entirely or partially on-line. We analyzed these data within the frameworks of mentoring, cognitive apprenticeship, and educational network interactions. Additionally, we introduced a web-based tool (Portals) to facilitate more effective communication in such mentoring situations and documented how and when it was used. We learned that mentors often take their cues from students about how to proceed in mentoring relationships and that they may not always be aware of the roles they play; and that teachers are important co-mentors in the process, particularly in creating cultures of collaboration in their classes and explicitly attending to and supporting students' communication skills. Technology was also an important player in these relationships. Recommendations for improving telementoring designs are included in the paper.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Tsikalas.pdf,"mentoring, learning environments, computer-mediated communication"
74,"Windschitl, Mark",The Diffusion and Appropriation of Ideas: An Investigation of Events Occurring Between Groups of Learners in Science Classrooms,"Researchers have conducted numerous studies on the interactions of individuals within groups, however, there has been little research on phenomena occurring between groups of learners in classrooms. This exploratory study identifies and categorizes different events occurring between members of different learning groups in three ninth-grade physical science classrooms. Distributed cognition is used as a framework for describing how inter-group interactions serve to diffuse ideas throughout the collective, how these interactions influence the processes and products of students' work, and how characteristics of learning tasks themselves afford or constrain different kinds of inter-group interactions.",socialcontext,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Windschitl2.pdf,"science education, social cognition, high school"
75,"Ellis, Jason B.||Bruckman, Amy S.||O'Neill, D. Kevin||Songer, Nancy Butler",Scaling Educational Online Communities: The Role of Volunteerism in Doing Large-Scale Educational Projects Online,"Educational online communities provide new opportunities for adult participation in the classroom. However, working with online adults presents unique challenges for designers of educational technologies as well. In this panel, we will examine the issues affecting the design educational online communities that integrate adults, as well as the role that adults play in making these communities scale to many classrooms.",specialsessions,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Ellis.pdf,"computer-mediated communication, discourse, distributed learning environments, life-long learning"
76,"Hunter, Beverly||Xie, Yichun",Building a Real-World Learning Community: The Work/Site Alliance of Southeastern Michigan,"Learning in the context of solving complex, real-world problems requires collaboration among diverse individuals and institutions and establishment of new learning communities. This session provides a framework for identifying the knowledge base required by an interdisciplinary, multi-institution program. The framework identifies the locus of knowledge across groups of participants in the learning community. Examples are provided of participant roles as learners, teachers, and builders of new knowledge.",specialsessions,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hunter.pdf,"learning communities, distributed learning environments, lifelong learning, systemic reform"
77,"Renninger, K. Ann||Shumar, Wesley||Schlager, Linda Polin Mark||Spitzer, William S.",Individual Change and Cultural Process: Their Role in Virtual Community Building,"There are a wide variety of virtual communities, each of which offers metaphors for interaction and paths of communication. In this symposium, discussion focuses on the relation between user and the site. Short presentations of four different sites will be followed by discussion of: (a) how change might be described; (b) the constraints and possibilities inherent in a site; and (c) how the ""culture"" of a virtual community might be described.",specialsessions,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Renninger2-new.pdf,"computer-mediated communication, learning communities, learning environments"
78,"Teasley, Stephanie D.||Finholt, Thomas A.||Potter, Clint S.||Carragher, Bridget||Carroll, Liana||Grosser, Benjamin||Hanlon, Janet||Kisseberth, Nick||Robinson, Scott||Weber, Daniel||Thakkar, Umesh||Conway, Charles||Snow, David Stone Gregory R.||Claes, Daniel R.||Myers, James D.",Participatory Science via the Internet,"This special session features scientists and developers building innovative interactive virtual environments that can be used for science education from kindergarten through college. The four projects presented in this session focus on different areas of science, from space physics to entomology, but they share a common educational orientation towards participatory learning using Internet access to scientific instruments, data, and expertise.",specialsessions,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Teasley.pdf,"distributed learning environments, science education"
